             r (kpc)         err_r (kpc)          r (arcsec)      err_r (arcsec)            v (km/s)        err_v (km/s)      Number of bins                Side
                0.53                0.04                 2.6                 0.2                  53                  13                   2                   r
                0.59                0.01                 2.9                 0.0                  42                   9                   2                   a
                0.70                0.00                 3.4                 0.0                  73                  15                   1                   a
                0.98                0.00                 4.8                 0.0                 101                  15                   1                   r
                1.20                0.10                 5.9                 0.5                 111                   4                   4                   a
                1.31                0.05                 6.4                 0.2                 121                   3                   2                   r
                1.57                0.09                 7.7                 0.4                 129                   7                   4                   a
                1.60                0.09                 7.8                 0.4                 111                  10                   2                   r
                1.87                0.05                 9.1                 0.2                 158                   2                   2                   r
                1.89                0.12                 9.2                 0.6                 139                   5                   4                   a
                2.24                0.11                10.9                 0.5                 155                   3                  10                   a
                2.30                0.07                11.2                 0.3                 168                  11                   4                   r
                2.61                0.10                12.8                 0.5                 163                   4                   9                   a
                2.63                0.08                12.9                 0.4                 133                   7                   2                   r
                2.91                0.09                14.2                 0.4                 178                   4                  14                   a
                2.91                0.06                14.2                 0.3                 173                  15                   3                   r
                3.26                0.00                15.9                 0.0                 187                  15                   1                   r
                3.27                0.09                16.0                 0.4                 181                   2                  11                   a
                3.47                0.00                17.0                 0.0                 154                  15                   1                   r
                3.65                0.09                17.8                 0.4                 184                   6                  14                   a
                3.99                0.08                19.5                 0.4                 188                   5                  10                   a
                4.06                0.03                19.8                 0.1                 205                  13                   2                   r
                4.31                0.02                21.1                 0.1                 187                   3                   3                   r
                4.39                0.08                21.5                 0.4                 181                   6                  10                   a
                4.55                0.03                22.2                 0.1                 172                   0                   2                   r
                4.70                0.08                23.0                 0.4                 196                   5                  11                   a
                4.99                0.17                24.4                 0.8                 192                   3                  23                   a
                5.36                0.42                26.2                 2.1                 180                   5                  23                   r
                5.56                0.19                27.2                 0.9                 194                   2                  23                   a
                6.14                0.17                30.0                 0.8                 206                   3                  23                   a
                6.83                0.44                33.4                 2.2                 189                   4                  23                   r
                6.88                0.24                33.6                 1.2                 200                   3                  23                   a
                7.63                0.21                37.3                 1.0                 205                   2                  23                   a
                8.35                0.20                40.8                 1.0                 208                   3                  23                   a
                8.53                0.59                41.7                 2.9                 200                   4                  23                   r
                9.18                0.30                44.9                 1.5                 201                   4                  23                   a
               10.22                0.35                50.0                 1.7                 205                   5                  23                   a
               10.99                0.70                53.7                 3.4                 211                   3                  23                   r
               11.24                0.30                54.9                 1.5                 207                   4                  23                   a
               12.29                0.28                60.1                 1.4                 209                   3                  23                   a
               12.61                0.45                61.6                 2.2                 209                   4                  23                   r
               13.39                0.30                65.4                 1.5                 205                   5                  23                   a
               14.36                0.63                70.2                 3.1                 197                   4                  23                   r
               14.54                0.31                71.1                 1.5                 208                   3                  23                   a
               15.60                0.34                76.2                 1.7                 198                   4                  23                   a
               16.77                0.35                82.0                 1.7                 204                   3                  23                   a
               18.49                0.60                90.4                 2.9                 199                   2                  23                   a
               18.73                2.91                91.5                14.2                 219                   5                  20                   r
               20.72                0.78               101.3                 3.8                 202                   3                  23                   a
               24.20                0.99               118.3                 4.8                 207                   3                  20                   a
