# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
3.568757525000000319e-01 5.424764791365490800e-08 1.558513223009097315e-10 -8.456998000000000104e+01 6.517368000000000272e+00 3.619061000000000083e-01 6.520378999999999758e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639904000000000224e+02 4.249171999999999798e+02 0.000000000000000000e+00
3.925632935000000212e-01 5.409731284266377742e-08 1.558422243139239276e-10 -8.402142999999999518e+01 6.382781999999999734e+00 3.655715999999999966e-01 6.435971999999999527e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639892999999999574e+02 4.249087999999999852e+02 0.000000000000000000e+00
4.318196160000000172e-01 5.393216781114749623e-08 1.558348749012922237e-10 -8.343618999999999630e+01 6.200947000000000209e+00 3.687621999999999844e-01 6.294882000000000255e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639873999999999796e+02 4.248994000000000142e+02 0.000000000000000000e+00
4.750016049999999934e-01 5.374365018694261557e-08 1.557625071383301053e-10 -8.281676000000000215e+01 5.976227999999999874e+00 3.691266999999999743e-01 6.071399000000000240e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639829999999999472e+02 4.248881999999999834e+02 0.000000000000000000e+00
5.225017655000000483e-01 5.353893541588306198e-08 1.556842191074446464e-10 -8.214967000000000041e+01 5.737322999999999951e+00 3.699764999999999859e-01 5.839062999999999892e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639772000000000389e+02 4.248756999999999948e+02 0.000000000000000000e+00
5.747519899999999904e-01 5.331736483395627772e-08 1.555961121037791030e-10 -8.142853999999999814e+01 5.484284999999999854e+00 3.714877999999999791e-01 5.599140999999999840e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639699000000000524e+02 4.248616999999999848e+02 0.000000000000000000e+00
6.322271890000000782e-01 5.307860910915599056e-08 1.554903796171578426e-10 -8.065004999999999313e+01 4.971524999999999750e+00 3.737987999999999866e-01 5.099970000000000198e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639605999999999995e+02 4.248460999999999785e+02 0.000000000000000000e+00
6.954496750000001004e-01 5.276546426996589626e-08 1.554170504222119400e-10 -7.947562000000000637e+01 4.595082999999999807e+00 3.622091000000000061e-01 4.600202999999999931e-02 2.621562755856882437e-08 7.354100801347848069e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.639589999999999463e+02 4.248261999999999716e+02 0.000000000000000000e+00
7.649949850000000717e-01 5.233282181128244803e-08 1.555636322713795606e-10 -7.765639000000000181e+01 4.726301999999999559e+00 3.303324000000000260e-01 4.399147999999999947e-02 7.641852965512593638e-08 1.262010370185461506e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.639547999999999774e+02 4.247982000000000085e+02 0.000000000000000000e+00
8.414944149999999956e-01 5.177881551840336810e-08 1.546982459157688978e-10 -7.722580999999999563e+01 3.600172999999999845e+00 3.093231000000000175e-01 3.177329999999999738e-02 7.641852965512593638e-08 1.262010370185461506e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.639519999999999982e+02 4.247862000000000080e+02 0.000000000000000000e+00
9.256439250000000341e-01 5.111665859061119640e-08 1.535021542236712686e-10 -7.676342999999999961e+01 2.620371000000000006e+00 2.971947999999999812e-01 2.237870000000000137e-02 7.641852965512593638e-08 1.262010370185461506e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.639640000000000555e+02 4.247884999999999991e+02 0.000000000000000000e+00
1.018207975000000154e+00 5.033121173537449684e-08 1.524961694469775860e-10 -7.596268000000000598e+01 2.119044999999999845e+00 2.839517999999999764e-01 1.742530000000000120e-02 1.246903960107931526e-07 1.618232515402390374e-10 5.000000000000000000e+00 1.300000000000000000e+01 5.639800000000000182e+02 4.248014000000000010e+02 0.000000000000000000e+00
1.120029115000000131e+00 4.942281426445731693e-08 1.514795867694129391e-10 -7.584646999999999650e+01 1.647089999999999943e+00 2.706707999999999892e-01 1.301073999999999981e-02 1.718492190821148608e-07 1.905201050649810415e-10 7.000000000000000000e+00 1.300000000000000000e+01 5.639976000000000340e+02 4.248140999999999963e+02 0.000000000000000000e+00
1.232032095000000105e+00 4.845577573690552021e-08 1.505375098203412581e-10 -7.754156999999999300e+01 1.436870000000000092e+00 2.730490999999999890e-01 1.143415000000000056e-02 1.718492190821148608e-07 1.905201050649810415e-10 7.000000000000000000e+00 1.300000000000000000e+01 5.640073999999999614e+02 4.248016000000000076e+02 0.000000000000000000e+00
1.355235509999999977e+00 4.741277129323686941e-08 1.500030284868412746e-10 -7.844594999999999629e+01 1.533274999999999944e+00 2.782850000000000046e-01 1.239758000000000006e-02 2.175765717441152634e-07 2.149826400845916666e-10 9.000000000000000000e+00 1.300000000000000000e+01 5.640145999999999731e+02 4.247880999999999858e+02 0.000000000000000000e+00
1.490758650000000074e+00 4.614371535640437034e-08 1.491226050241086402e-10 -7.787417999999999552e+01 1.613563999999999998e+00 2.786232000000000153e-01 1.317107999999999994e-02 2.621657815719191535e-07 2.366112533252003100e-10 1.100000000000000000e+01 1.300000000000000000e+01 5.640080000000000382e+02 4.247617000000000189e+02 0.000000000000000000e+00
1.639834514999999993e+00 4.495048561908001745e-08 1.475078070730567440e-10 -7.844584000000000401e+01 1.135202000000000044e+00 2.930026000000000019e-01 9.268224999999999728e-03 3.050543095872420750e-07 2.559779203259847634e-10 1.300000000000000000e+01 1.400000000000000000e+01 5.640303000000000111e+02 4.247452999999999861e+02 0.000000000000000000e+00
