# Ellipse table for galaxy UGC1317
# Zeropoint: 30.0022
#SMA        INT         INT_ERR     PA           PA_ERR      ELLIP       ELLIP_ERR   TFLUX       TFLUX_ERR   NPIX        NDATA       X0          Y0          FLAG        
#ARCSEC     W/m2/strad/arcsec2W/m2/strad/arcsec2DEGREE       DEGREE      NO DIM      NO DIM      W/m2        W/m2        NUMBER      NUMBER      PIXEL       :PIXEL       
3.568758895000000431e-01 5.190222520294109308e-08 1.680177745289411851e-10 -7.609699999999999420e+01 5.341567999999999650e+00 6.685330000000000439e-01 8.023943999999999521e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
3.925634989999999824e-01 5.183101963127873868e-08 1.708645316905367635e-10 -7.609699999999999420e+01 5.324440000000000062e+00 6.685330000000000439e-01 7.998215000000000185e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
4.318198214999999784e-01 5.175291804699989346e-08 1.742377981635164878e-10 -7.609699999999999420e+01 5.304733999999999838e+00 6.685330000000000439e-01 7.968612999999999391e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
4.750018105000000657e-01 5.166720190754538127e-08 1.782136924145609604e-10 -7.609699999999999420e+01 5.284970999999999641e+00 6.685330000000000439e-01 7.938926000000000316e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.225020395000000706e-01 5.157320256914485592e-08 1.828858331974734672e-10 -7.609699999999999420e+01 5.266547000000000089e+00 6.685330000000000439e-01 7.911250000000000226e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
5.747521955000001181e-01 5.147023142851246701e-08 1.883481453412407566e-10 -7.609699999999999420e+01 5.242073999999999678e+00 6.685330000000000439e-01 7.874486999999999459e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.322274630000001006e-01 5.135736036817592361e-08 1.947062728423585355e-10 -7.609699999999999420e+01 5.215996999999999773e+00 6.685330000000000439e-01 7.835314999999999641e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
6.954503600000000452e-01 5.123371116945181099e-08 2.020735446422306115e-10 -7.609699999999999420e+01 4.220324999999999882e+00 6.685330000000000439e-01 6.339646999999999644e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
7.649949850000000717e-01 5.106727874918368056e-08 2.110998210394810140e-10 -7.609699999999999420e+01 3.855595999999999801e+00 6.685330000000000439e-01 5.791759999999999964e-02 2.469567655327081132e-08 7.214513976775311020e-11 1.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
8.414944149999999956e-01 5.086676545614374204e-08 2.221492572940406396e-10 -7.609699999999999420e+01 3.849505999999999872e+00 6.685330000000000439e-01 5.782613000000000336e-02 7.236963510602208662e-08 1.240362380998024479e-10 3.000000000000000000e+00 1.300000000000000000e+01 5.640000000000000000e+02 4.240000000000000000e+02 0.000000000000000000e+00
